Price,new_car_price,overview_Fuel type,spec_Regenerative Braking,spec_CNG Tank Capacity (L/Kg),spec_Turbocharger/ Supercharger,spec_Four-Wheel-Drive,Manufacturing Year,Brand,Model,Varient,Kilometer,ownership,Transmission,Insurance,Registration_Type,City,Engine(cc),Max_Power(bhp),Mileage,Emission_Standard,Seating_Capacity,Fuel_Tank_Capcity,Safety_Score,Sunroof,Praking_Sensors,Keyless_Start,GPS_Navigation,ADAS,Automatic_Emergency_Braking,Driving_Range
248000.0,402000.0,Petrol,,,No,No,2019,Renault,Kwid,"['RXL', '[2015-2019]']",65393.0,1,Manual,Yes,Not Available,Lucknow,799 ,53.0,25.17 kmpl,Not Applicable,5,28,1.1861850568025385,No,No,No,No,No,No,0
350000.0,427000.0,Petrol,,,No,No,2019,Renault,Kwid,['RXL'],28200.0,1,Manual,No,Individual,Lucknow,799 ,53.0,25 kmpl,Not Applicable,5,28,1.1861850568025385,No,Yes,No,No,No,No,0
350000.0,518000.0,Petrol,,,No,No,2019,Renault,Kwid,"['1.0', 'RXT', '[2019-2020]']",55000.0,1,Manual,No,Not Available,Lucknow,999 ,67.0,23 kmpl,BS 4,5,28,0.29940329864061643,No,Yes,No,Yes,No,No,0
225000.0,427000.0,Petrol,,,No,No,2016,Renault,Kwid,"['RXT', '[2015-2019]']",65000.0,1,Manual,No,Individual,Lucknow,799 ,53.0,25.17 kmpl,Not Applicable,5,28,0.8867817581619221,No,No,No,Yes,No,No,0
200000.0,452000.0,Petrol,,,No,No,2018,Renault,Kwid,"['1.0', 'RXL', 'Edition']",71000.0,2,Manual,No,Individual,Lucknow,999 ,67.0,23.01 kmpl,Not Applicable,5,28,0.8734752426520138,No,No,No,No,No,No,0
265000.0,,Petrol,,,No,,2018,Renault,Kwid,"['RXT', '1.0', 'SCE', 'Edition']",23568.0,1,Manual,No,Not Available,Lucknow,999 ,67.0,23.01 kmpl,Not Applicable,5,28,0.7359904639672388,No,No,No,No,No,No,0
300000.0,451000.0,Petrol,,,No,No,2019,Renault,Kwid,"['1.0', 'RXT', '[2016-2019]']",30000.0,1,Manual,Yes,Individual,Lucknow,999 ,67.0,23.01 kmpl,Not Applicable,5,28,0.8867817581619221,No,No,No,Yes,No,No,0
200000.0,427000.0,Petrol,,,No,No,2016,Renault,Kwid,"['RXT', '[2015-2019]']",79000.0,1,Manual,No,Not Available,Lucknow,799 ,53.0,25.17 kmpl,Not Applicable,5,28,0.8867817581619221,No,No,No,Yes,No,No,0
200000.0,462000.0,Petrol,,,No,No,2019,Renault,Kwid,"['RXL', '[2019-2020]']",85000.0,1,Manual,No,Individual,Lucknow,799 ,53.0,25 kmpl,BS 4,5,28,0.29940329864061643,No,Yes,No,No,No,No,0
392000.0,650000.0,Petrol,No,,No,No,2023,Renault,Kwid,"['RXT', '1.0', '[2023-2024]']",28164.0,1,Manual,Yes,Not Available,Lucknow,Not Applicable,67.0,21.7 kmpl,BS 6,No,28,1.6243578582347378,No,Yes,No,Yes,No,No,608
